Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type
3/3/2023 8:27,DOTA2,TWITTER,N/A ,1074,75,Text
3/3/2023 8:28,DOTA2,TWITTER,N/A ,0,0,Video
3/3/2023 9:00,Valorant,YOUTUBE,Evil Exhibited ,56,5,Video
3/3/2023 9:00,General ,TIKTOK_BUSINESS,Evil Exhibited ,403,15,Video
3/3/2023 9:06,General ,INSTAGRAM,Evil Exhibited ,10183,112,Video
3/3/2023 9:17,DOTA2,TWITTER,N/A ,2636,196,Text
3/3/2023 9:19,General ,TWITTER,Community Engagement ,15259,836,Video
3/3/2023 9:19,General ,FBPAGE,Community Engagement ,20187,2892,Video
3/3/2023 9:21,DOTA2,TWITTER,N/A ,6900,1040,Mixed
3/3/2023 9:23,General ,FBPAGE,Community Engagement ,24127,4912,Video
3/3/2023 9:25,General ,FBPAGE,N/A ,0,0,Photo
3/3/2023 9:25,General ,FBPAGE,N/A ,0,0,Photo
3/3/2023 9:28,DOTA2,TWITTER,N/A ,1793,97,Text
3/3/2023 9:29,DOTA2,TWITTER,N/A ,967,31,Text
3/3/2023 9:36,DOTA2,TWITTER,N/A ,0,0,Photo
3/3/2023 9:42,DOTA2,TWITTER,Community Engagement ,4452,246,Photo
3/3/2023 9:42,General ,FBPAGE,Community Engagement ,32047,6332,Photo
3/3/2023 9:44,General ,TWITTER,Community Engagement ,36500,274,Text
3/3/2023 10:27,Valorant,YOUTUBE,Evil Exhibited ,522,35,Video
3/3/2023 10:34,DOTA2,TWITTER,N/A ,4197,279,Photo
3/3/2023 10:38,General ,FBPAGE,Community Engagement ,99038,13938,Video
3/3/2023 10:39,DOTA2,TWITTER,Community Engagement ,5503,803,Video
3/3/2023 10:39,General ,TWITTER,Community Engagement ,18874,1591,Video
3/3/2023 10:39,General ,FBPAGE,Community Engagement ,39749,10084,Video
3/3/2023 10:40,General ,TWITTER,Community Engagement ,32524,1091,Photo
3/3/2023 10:40,General ,FBPAGE,Community Engagement ,23504,2171,Photo
3/3/2023 10:41,DOTA2,TWITTER,Community Engagement ,14379,716,Photo
3/3/2023 10:41,General ,FBPAGE,Community Engagement ,58859,16292,Photo
3/3/2023 10:43,DOTA2,TWITTER,N/A ,0,0,Text
3/3/2023 10:43,DOTA2,TWITTER,N/A ,0,0,Text
3/3/2023 10:45,DOTA2,TWITTER,N/A ,1649,70,Text
3/3/2023 10:47,General ,INSTAGRAM,Community Engagement ,11209,0,Photo
3/3/2023 11:00,General ,TWITTER,Community Engagement ,57957,2007,Photo
3/3/2023 11:00,General ,FBPAGE,Community Engagement ,28042,3687,Photo
3/3/2023 11:01,General ,INSTAGRAM,Community Engagement ,56508,4577,Photo
3/3/2023 11:02,General ,INSTAGRAM,Community Engagement ,10503,0,Photo
3/3/2023 11:10,DOTA2,TWITTER,Community Engagement ,12330,641,Photo
3/3/2023 11:10,General ,FBPAGE,Community Engagement ,53954,15601,Photo
3/3/2023 11:58,DOTA2,TWITTER,N/A ,273,6,Text
3/3/2023 11:58,DOTA2,TWITTER,N/A ,230,10,Text
3/3/2023 12:30,General ,TIKTOK_BUSINESS,Evil Exhibited ,4605,189,Video
3/3/2023 12:30,General ,INSTAGRAM,Evil Exhibited ,14487,225,Video
3/3/2023 13:01,General ,TWITTER,Evil Exhibited ,22090,949,Video
3/3/2023 13:17,Content Creators,YOUTUBE,N/A ,1713,39,Video
3/3/2023 13:35,Content Creators,YOUTUBE,N/A ,2142,38,Video
3/3/2023 13:40,General ,TWITTER,Community Engagement ,1963,33,Text
3/3/2023 13:50,Valorant,YOUTUBE,Evil Exhibited ,0,0,Text
3/3/2023 15:24,DOTA2,TWITTER,Community Engagement ,5739,195,Photo
3/3/2023 15:24,General ,TWITTER,Community Engagement ,13811,289,Photo
3/3/2023 15:24,General ,INSTAGRAM,Community Engagement ,9173,0,Photo
3/3/2023 15:24,General ,FBPAGE,Community Engagement ,21833,2340,Photo
3/3/2023 15:24,General ,FBPAGE,Community Engagement ,13240,333,Photo
3/3/2023 15:51,General ,TWITTER,Community Engagement ,10818,85,Photo
3/3/2023 15:58,General ,TWITTER,Community Engagement ,12942,227,Photo
3/3/2023 16:00,General ,TWITTER,Community Engagement ,3780,236,Video
3/3/2023 16:01,DOTA2,TWITTER,N/A ,649,28,Text
3/3/2023 16:05,DOTA2,TWITTER,N/A ,0,0,Video
3/3/2023 16:08,DOTA2,TWITTER,N/A ,1081,65,Text
3/3/2023 16:09,General ,TWITTER,Community Engagement ,300,9,Video
3/3/2023 16:11,DOTA2,TWITTER,Community Engagement ,4918,285,Text
3/3/2023 16:11,General ,FBPAGE,Community Engagement ,31978,4377,Text
3/3/2023 16:12,General ,INSTAGRAM,Community Engagement ,8775,0,Video
3/3/2023 16:22,DOTA2,TWITTER,N/A ,562,9,Text
3/3/2023 16:25,General ,TWITTER,Community Engagement ,12027,395,Video
3/3/2023 16:27,DOTA2,TWITTER,Community Engagement ,3035,365,Video
3/3/2023 16:27,General ,FBPAGE,Community Engagement ,16784,2716,Video
3/3/2023 16:29,DOTA2,TWITTER,Community Engagement ,5561,316,Photo
3/3/2023 16:29,General ,FBPAGE,Community Engagement ,32758,5622,Photo
3/3/2023 16:31,General ,TWITTER,Community Engagement ,23676,1451,Video
3/3/2023 16:31,General ,FBPAGE,Community Engagement ,39584,4199,Video
3/3/2023 16:35,General ,TWITTER,Community Engagement ,18869,436,Photo
3/3/2023 16:35,General ,TWITTER,N/A ,0,0,Video
3/3/2023 16:40,DOTA2,TWITTER,Community Engagement ,36492,4051,Photo
3/3/2023 16:40,General ,FBPAGE,Community Engagement ,47736,15254,Photo
3/3/2023 16:40,General ,FBPAGE,Community Engagement ,47736,15254,Photo
3/3/2023 16:40,General ,FBPAGE,Community Engagement ,95471,30506,Photo
3/3/2023 16:41,General ,TWITTER,Community Engagement ,16323,384,Photo
3/3/2023 16:42,General ,TWITTER,N/A ,0,0,Photo
3/3/2023 16:43,General ,TWITTER,Community Engagement ,3863,189,Video
3/3/2023 16:44,DOTA2,TWITTER,N/A ,992,9,Text
3/3/2023 16:47,DOTA2,TWITTER,N/A ,5254,84,Text
3/3/2023 16:47,General ,TWITTER,N/A ,0,0,Video
3/3/2023 17:22,DOTA2,TWITTER,Community Engagement ,2679,154,Photo
3/3/2023 17:22,General ,FBPAGE,Community Engagement ,42921,8930,Photo
3/3/2023 17:24,General ,INSTAGRAM,Community Engagement ,8457,0,Video
3/3/2023 17:25,General ,INSTAGRAM,N/A ,0,0,Photo
3/3/2023 17:28,General ,INSTAGRAM,Community Engagement ,8323,0,Video
3/3/2023 17:37,General ,TWITTER,Community Engagement ,22406,165,Text
3/3/2023 17:38,DOTA2,TWITTER,Community Engagement ,2683,95,Photo
3/3/2023 17:38,General ,FBPAGE,Community Engagement ,27764,3441,Text
3/3/2023 17:39,DOTA2,TWITTER,N/A ,0,0,Text
3/3/2023 17:39,DOTA2,TWITTER,N/A ,0,0,Text
3/3/2023 17:39,DOTA2,TWITTER,N/A ,0,0,Text
3/3/2023 17:39,DOTA2,TWITTER,N/A ,0,0,Text
3/3/2023 17:39,General ,INSTAGRAM,Community Engagement ,8234,0,Video
3/3/2023 17:52,General ,TWITTER,Community Engagement ,16021,239,Photo
3/3/2023 17:52,General ,FBPAGE,Community Engagement ,17399,1249,Video
3/3/2023 18:08,DOTA2,TWITTER,Community Engagement ,1103,37,Text
3/3/2023 18:08,General ,FBPAGE,Community Engagement ,33717,2593,Text
3/3/2023 18:12,General ,FBPAGE,Community Engagement ,21922,1695,Video
3/3/2023 18:13,General ,TWITTER,Community Engagement ,24340,1244,Video
3/3/2023 18:14,DOTA2,TWITTER,Community Engagement ,1615,152,Video
3/3/2023 18:14,General ,FBPAGE,Community Engagement ,18721,1400,Video
3/3/2023 18:22,DOTA2,TWITTER,N/A ,2861,257,Photo
3/3/2023 18:35,DOTA2,TWITTER,Community Engagement ,1891,193,Video
3/3/2023 18:35,General ,FBPAGE,Community Engagement ,23295,3543,Video
3/3/2023 18:45,DOTA2,TWITTER,N/A ,0,0,Video
3/3/2023 18:49,General ,TWITTER,Community Engagement ,70460,4542,Photo
3/3/2023 18:49,General ,FBPAGE,Community Engagement ,47413,10977,Photo
3/3/2023 18:50,General ,INSTAGRAM,Community Engagement ,8413,0,Photo
3/3/2023 18:51,DOTA2,TWITTER,Community Engagement ,9258,690,Photo
3/3/2023 18:51,General ,FBPAGE,Community Engagement ,49862,14293,Photo
3/3/2023 18:55,DOTA2,TWITTER,Community Engagement ,24258,1098,Photo
3/3/2023 18:55,General ,FBPAGE,Community Engagement ,140548,38921,Photo
3/3/2023 19:01,DOTA2,TWITTER,N/A ,739,21,Text
3/3/2023 19:02,General ,INSTAGRAM,Community Engagement ,7327,0,Photo
3/3/2023 19:04,General ,TWITTER,Community Engagement ,3205,162,Video
3/3/2023 19:10,DOTA2,TWITTER,N/A ,3990,488,Text
3/3/2023 19:37,DOTA2,TWITTER,N/A ,659,39,Text
3/3/2023 20:00,General ,TWITTER,Community Engagement ,22708,1101,Photo
3/3/2023 20:00,General ,INSTAGRAM,Community Engagement ,13020,276,Photo
3/4/2023 6:00,General ,TIKTOK_BUSINESS,Evil Exhibited ,970,37,Video
3/4/2023 6:00,General ,INSTAGRAM,Evil Exhibited ,8498,94,Video
3/4/2023 6:44,DOTA2,TWITTER,N/A ,1451,50,Text
3/4/2023 8:25,DOTA2,TWITTER,N/A ,1430,125,Video
3/4/2023 9:46,DOTA2,TWITTER,N/A ,0,0,Video
3/4/2023 10:00,General ,TWITTER,Evil Exhibited ,107804,2444,Photo
3/4/2023 10:01,DOTA2,TWITTER,N/A ,83,6,Text
3/4/2023 10:21,DOTA2,TWITTER,N/A ,1884,147,Video
3/4/2023 11:27,General ,TWITTER,Evil Exhibited ,7019,101,Video
3/4/2023 12:30,Content Creators,YOUTUBE,Community Engagement ,37,9,Video
3/4/2023 12:30,Valorant,YOUTUBE,Evil Exhibited ,76,7,Video
3/4/2023 13:58,DOTA2,TWITTER,N/A ,2128,259,Video
3/4/2023 14:34,DOTA2,TWITTER,N/A ,1596,174,Video
3/4/2023 15:47,DOTA2,TWITTER,N/A ,1129,14,Text
3/4/2023 16:50,General ,TWITTER,Community Engagement ,15999,280,Photo
3/4/2023 17:54,General ,TWITTER,Community Engagement ,19577,750,Video
3/4/2023 18:17,General ,TWITTER,Community Engagement ,21106,452,Photo
3/4/2023 18:18,General ,TWITTER,Community Engagement ,1148,4,Text
3/5/2023 6:00,General ,TIKTOK_BUSINESS,Evil Exhibited ,466,12,Video
3/5/2023 6:00,General ,INSTAGRAM,Evil Exhibited ,9387,114,Video
3/5/2023 11:33,General ,FBPAGE,N/A ,0,0,Text
3/5/2023 12:30,Valorant,YOUTUBE,Evil Exhibited ,488,21,Video
3/5/2023 15:11,General ,TWITTER,Community Engagement ,13752,64,Photo
3/5/2023 15:17,General ,TWITTER,Community Engagement ,24241,398,Photo
3/5/2023 15:53,General ,TWITTER,Community Engagement ,1161,29,Video
3/5/2023 16:42,DOTA2,TWITTER,Community Engagement ,6235,310,Text
3/5/2023 16:42,General ,FBPAGE,Community Engagement ,54894,11330,Text
3/5/2023 16:47,General ,TWITTER,Community Engagement ,16300,87,Photo
3/5/2023 16:49,General ,TWITTER,Community Engagement ,18989,644,Video
3/6/2023 6:00,General ,TIKTOK_BUSINESS,Evil Exhibited ,2789,130,Video
3/6/2023 6:06,General ,INSTAGRAM,Evil Exhibited ,7670,100,Video
3/6/2023 8:43,DOTA2,TWITTER,N/A ,5163,180,Text
3/6/2023 9:23,Valorant,YOUTUBE,Evil Exhibited ,0,0,Text
3/6/2023 10:18,General ,TWITTER,Community Engagement ,298,13,Text
3/6/2023 12:12,DOTA2,TWITTER,N/A ,64,1,Text
3/6/2023 12:30,Content Creators,YOUTUBE,Community Engagement ,29,11,Video
3/6/2023 12:30,Valorant,YOUTUBE,Evil Exhibited ,43,4,Video
3/6/2023 13:57,General ,TIKTOK_BUSINESS,Evil Exhibited ,1377,99,Video
3/6/2023 14:00,General ,INSTAGRAM,Evil Exhibited ,15742,296,Video
3/6/2023 14:30,General ,TWITTER,N/A ,0,0,Video
3/6/2023 14:54,General ,TWITTER,Community Engagement ,13635,82,Photo
3/6/2023 15:14,DOTA2,TWITTER,N/A ,8332,73,Text
3/6/2023 15:15,DOTA2,TWITTER,N/A ,4062,172,Link
3/6/2023 15:24,General ,TWITTER,Evil Exhibited ,1503,22,Text
3/6/2023 16:08,General ,YOUTUBE,N/A ,4338,72,Video
3/6/2023 16:08,General ,YOUTUBE,N/A ,1562,44,Video
3/6/2023 16:32,General ,TWITTER,Community Engagement ,17157,178,Photo
3/7/2023 6:00,General ,TIKTOK_BUSINESS,Evil Exhibited ,3064,86,Video
3/7/2023 6:06,General ,INSTAGRAM,Evil Exhibited ,8826,91,Video
3/7/2023 9:00,General ,TIKTOK_BUSINESS,Evergreen ,288,6,Video
3/7/2023 9:12,General ,INSTAGRAM,Evergreen ,23484,577,Video
3/7/2023 9:30,Content Creators,YOUTUBE,N/A ,1643,53,Video
3/7/2023 9:30,Content Creators,YOUTUBE,N/A ,0,0,Video
3/7/2023 9:37,Content Creators,YOUTUBE,N/A ,807,36,Video
3/7/2023 9:50,Content Creators,YOUTUBE,N/A ,0,0,Text
